,Name,Lat,Long,Patronage,Type
0,Aircraft,-37.86660595,144.7608094,234300,Unstaffed
1,Alamein,-37.86832039,145.0796557,91500,Unstaffed
2,Albion,-37.77765281,144.8247036,433100,Staffed
3,Albury,-36.084263,146.924518,73450,Staffed
4,Alphington,-37.77839363,145.0312549,244050,Unstaffed
5,Altona,-37.8671476,144.8296447,260350,Unstaffed
6,Anstey,-37.76124203,144.960684,358900,Unstaffed
7,Ararat,-37.282202,142.936912,50350,Staffed
8,Ardeer,-37.783063,144.802193,78950,Unstaffed
9,Armadale,-37.85645238,145.0193255,413300,Staffed
10,Ascot Vale,-37.77530609,144.9218207,474300,Staffed
11,Ashburton,-37.86196753,145.0813438,194250,Staffed
12,Aspendale,-38.02722019,145.1021496,156950,Unstaffed
13,Auburn,-37.82239831,145.0458437,626150,Staffed
14,Avenel,-36.893644,145.229517,1400,Unstaffed
15,Bacchus Marsh,-37.687517,144.436857,334450,Staffed
16,Bairnsdale,-37.828717,147.627615,49800,Staffed
17,Balaclava,-37.86948773,144.9935121,787700,Staffed
18,Ballan,-37.6043,144.225443,85950,Staffed
19,Ballarat,-37.55879,143.859452,604350,Interchange
20,Batman,-37.73352285,144.9628406,222650,Unstaffed
21,Baxter,-38.19404306,145.1605261,2550,Unstaffed
22,Bayswater,-37.84173004,145.2681364,385400,Staffed
23,Beaconsfield,-38.05083135,145.3660737,174000,Unstaffed
24,Beaufort,-37.427875,143.382233,8300,Unstaffed
25,Belgrave,-37.9091021,145.3552913,223050,Staffed
26,Bell,-37.74556212,145.000155,385100,Staffed
27,Benalla,-36.544549,145.983914,28200,Staffed
28,Bendigo,-36.765673,144.283012,456400,Interchange
29,Bentleigh,-37.91742457,145.0369951,509100,Staffed
30,Berwick,-38.04040829,145.3457261,948200,Staffed
31,Birregurra,-38.328807,143.78362,3200,Unstaffed
32,Bittern,-38.33739032,145.1780265,7850,Unstaffed
33,Blackburn,-37.82007075,145.1500135,1230050,Staffed
34,Bonbeach,-38.06294478,145.1196804,134500,Unstaffed
35,Boronia,-37.8604518,145.2843851,380550,Staffed
36,Box Hill,-37.81922165,145.1214289,2535000,Staffed
37,Brighton Beach,-37.92648432,144.9891536,393350,Staffed
38,Broadford,-37.207202,145.043009,44250,Staffed
39,Broadmeadows,-37.68304926,144.9196132,874950,Interchange
40,Brunswick,-37.76772055,144.9595865,326950,Unstaffed
41,Bunyip,-38.09911,145.720762,13800,Unstaffed
42,Burnley,-37.82756022,145.0075551,730000,Interchange
43,Burwood,-37.85156328,145.0805111,214050,Unstaffed
44,Camberwell,-37.82656714,145.0586972,1241500,Interchange
45,Camperdown,-38.2289,143.150932,14450,Staffed
46,Canterbury,-37.82448518,145.0812242,246900,Unstaffed
47,Cardinia Road,-38.07129047,145.437791,360500,Unstaffed
48,Carnegie,-37.88624148,145.0585751,993800,Staffed
49,Caroline Springs,-37.766144,144.735748,282150,Staffed
50,Carrum,-38.07489292,145.1224183,322800,Staffed
51,Castlemaine,-37.062836,144.213801,214300,Staffed
52,Caulfield,-37.87745946,145.0425248,2909850,Interchange
53,Chatham,-37.82429952,145.0886479,175600,Unstaffed
54,Chelsea,-38.05195538,145.1160413,340500,Unstaffed
55,Cheltenham,-37.96664989,145.0545579,629500,Staffed
56,Chiltern,-36.155634,146.61138,5500,Unstaffed
57,Clarkefield,-37.483497,144.745368,31550,Staffed
58,Clayton,-37.92468255,145.1205344,1535450,Interchange
59,Clifton Hill,-37.78865745,144.9954167,779150,Interchange
60,Clunes,-37.303143,143.781574,1850,Unstaffed
61,Cobblebank,-37.712542,144.604103,278050,Staffed
62,Coburg,-37.74234502,144.9633363,498850,Staffed
63,Colac,-38.343378,143.586658,27050,Staffed
64,Collingwood,-37.80452593,144.9937497,488050,Unstaffed
65,Coolaroo,-37.66100253,144.9260556,253750,Unstaffed
66,Corio,-38.072835,144.37977,29300,Unstaffed
67,Craigieburn,-37.6018169,144.9433203,1418700,Interchange
68,Cranbourne,-38.09953731,145.280599,949900,Staffed
69,Creswick,-37.424605,143.888122,1300,Unstaffed
70,Crib Point,-38.36612338,145.2040433,7150,Unstaffed
71,Croxton,-37.764101,144.9970562,228050,Unstaffed
72,Croydon,-37.79543697,145.2805978,288100,Staffed
73,Dandenong,-37.98996792,145.2097254,2073300,Interchange
74,Darebin,-37.77496341,145.038476,102800,Unstaffed
75,Darling,-37.86895684,145.0629508,282750,Staffed
76,Deer Park,-37.77776,144.772307,518750,Staffed
77,Dennis,-37.77918729,145.0082416,247400,Unstaffed
78,Diamond Creek,-37.67329744,145.1585062,128950,Unstaffed
79,Diggers Rest,-37.62701651,144.7199224,173850,Unstaffed
80,Dingee,-36.369235,144.23112,350,Unstaffed
81,Donnybrook,-37.542571,144.96955,125550,Unstaffed
82,Drouin,-38.136453,145.855943,87600,Staffed
83,Eaglehawk,-36.718528,144.248382,3100,Unstaffed
84,Eaglemont,-37.76358553,145.0539427,111200,Unstaffed
85,East Camberwell,-37.82589419,145.0681902,176350,Unstaffed
86,East Malvern,-37.87693002,145.069393,335300,Staffed
87,East Pakenham,-38.084284,145.506311,3700,Unstaffed
88,East Richmond,-37.82639995,144.9970657,537300,Unstaffed
89,Echuca,-36.130985,144.753463,28800,Staffed
90,Edithvale,-38.03805602,145.1085355,186300,Unstaffed
91,Elmore,-36.495017,144.607753,1900,Unstaffed
92,Elsternwick,-37.88475311,145.0008979,797050,Staffed
93,Eltham,-37.71354967,145.147822,387550,Staffed
94,Epping,-37.65238715,145.0301217,725350,Staffed
95,Epsom,-36.706343,144.321036,6600,Unstaffed
96,Essendon,-37.7560117,144.9161975,1312800,Staffed
97,Euroa,-36.749135,145.568086,6900,Unstaffed
98,Fairfield,-37.77917126,145.0169053,444550,Staffed
99,Fawkner,-37.71462129,144.960545,147500,Unstaffed
100,Ferntree Gully,-37.88169799,145.2952513,269950,Staffed
101,Flagstaff,-37.81198131,144.9556538,3435300,Interchange
102,Flemington Bridge,-37.78813995,144.9393233,252700,Unstaffed
103,Flemington Racecourse,-37.78720192,144.9075887,134250,Unstaffed
104,Flinders Street,-37.81830513,144.9669643,20345200,Interchange
105,Footscray,-37.80108298,144.9031992,4365800,Interchange
106,Frankston,-38.14299007,145.1261623,997450,Interchange
107,Gardenvale,-37.89669508,145.0041684,396750,Unstaffed
108,Gardiner,-37.85327908,145.0516547,399250,Unstaffed
109,Garfield,-38.09103,145.67422,18950,Unstaffed
110,Geelong,-38.144241,144.354992,969600,Staffed
111,Ginifer,-37.75751083,144.8095734,650350,Unstaffed
